"","state","code","num","census","icpsr","icpsr2"
"1","Alabama","AL",1,"South",41,"41 AL ALABAMA"
"2","Alaska","AK",2,"West",81,"81 AK ALASKA  "
"3","Arizona","AZ",3,"West",61,"61 AZ ARIZONA "
"4","Arkansas","AR",4,"South",42,"42 AR ARKANSAS "
"5","California","CA",5,"West",71,"71 CA CALIFORNIA"
"6","Colorado","CO",6,"West",62,"62 CO COLORADO "
"7","Connecticut","CT",7,"Northeast",1,"01 CT CONNECTICUT"
"8","Delaware","DE",8,"South",11,"11 DE DELAWARE "
"9","District of Columbia","DC",9,"Northeast",55,"55 DC DISTRICT OF COLUMBIA"
"10","Florida","FL",10,"South",43,"43 FL FLORIDA "
"11","Georgia","GA",11,"South",44,"44 GA GEORGIA "
"12","Hawaii","HI",12,"West",82,"82 HI HAWAII  "
"13","Idaho","ID",13,"West",63,"63 ID IDAHO   "
"14","Illinois","IL",14,"Midwest",21,"21 IL ILLINOIS "
"15","Indiana","IN",15,"Midwest",22,"22 IN INDIANA "
"16","Iowa","IA",16,"Midwest",31,"31 IA IOWA    "
"17","Kansas","KS",17,"Midwest",32,"32 KS KANSAS  "
"18","Kentucky","KY",18,"South",51,"51 KY KENTUCKY "
"19","Louisiana","LA",19,"South",45,"45 LA LOUISIANA "
"20","Maine","ME",20,"Northeast",2,"02 ME MAINE   "
"21","Maryland","MD",21,"South",52,"52 MD MARYLAND "
"22","Massachusetts","MA",22,"Northeast",3,"03 MA MASSACHUSETTS "
"23","Michigan","MI",23,"Midwest",23,"23 MI MICHIGAN "
"24","Minnesota","MN",24,"Midwest",33,"33 MN MINNESOTA "
"25","Mississippi","MS",25,"South",46,"46 MS MISSISSIPPI "
"26","Missouri","MO",26,"Midwest",34,"34 MO MISSOURI "
"27","Montana","MT",27,"West",64,"64 MT MONTANA "
"28","Nebraska","NE",28,"Midwest",35,"35 NE NEBRASKA "
"29","Nevada","NV",29,"West",65,"65 NV NEVADA  "
"30","New Hampshire","NH",30,"Northeast",4,"04 NH NEW HAMSHIRE "
"31","New Jersey","NJ",31,"Northeast",12,"12 NJ NEW JERSEY "
"32","New Mexico","NM",32,"West",66,"66 NM NEW MEXICO "
"33","New York","NY",33,"Northeast",13,"13 NY NEW YORK "
"34","North Carolina","NC",34,"South",47,"47 NC NORTH CAROLINA "
"35","North Dakota","ND",35,"Midwest",36,"36 ND NORTH DAKOTA "
"36","Ohio","OH",36,"Midwest",24,"24 OH OHIO    "
"37","Oklahoma","OK",37,"South",53,"53 OK OKLAHOMA "
"38","Oregon","OR",38,"West",72,"72 OR OREGON  "
"39","Pennsylvania","PA",39,"Northeast",14,"14 PA PENNSYLVANIA "
"40","Rhode Island","RI",40,"Northeast",5,"05 RI RHODE ISLAND "
"41","South Carolina","SC",41,"South",48,"48 SC SOUTH CAROLINA "
"42","South Dakota","SD",42,"Midwest",37,"37 SD SOUTH DAKOTA "
"43","Tennessee","TN",43,"South",54,"54 TN TENNESSEE "
"44","Texas","TX",44,"South",49,"49 TX TEXAS   "
"45","Utah","UT",45,"West",67,"67 UT UTAH    "
"46","Vermont","VT",46,"Northeast",6,"06 VT VERMONT "
"47","Virginia","VA",47,"South",40,"40 VA VIRGINIA "
"48","Washington","WA",48,"West",73,"73 WA WASHINGTON "
"49","West Virginia","WV",49,"South",56,"56 WV WEST VIRGINA "
"50","Wisconsin","WI",50,"Midwest",25,"25 WI WISCONSIN "
"51","Wyoming","WY",51,"West",68,"68 WY WYOMING "
"52","Outside the US","",52,NA,NA,""
